epoch,train_loss,train_acc,val_loss,val_acc
1,0.433348731433644,0.5531365313653136,0.38033386929468677,0.7008862629246676
2,0.3766828705282772,0.6966789667896679,0.3522057736461813,0.7363367799113737
3,0.34663868160808786,0.7496309963099631,0.3331748958338391,0.7636632200886263
4,0.323093982128536,0.7761992619926199,0.3185029564933343,0.7710487444608567
5,0.30214989430764144,0.7990774907749078,0.30676685205914755,0.7887740029542097
6,0.2844690401764477,0.814760147601476,0.29709914191202685,0.7836041358936484
7,0.2659733137663673,0.8249077490774908,0.29372461478818546,0.7961595273264401
8,0.24689304390374353,0.8437269372693726,0.28927774117751553,0.808714918759232
9,0.23364997085402994,0.8568265682656827,0.28807241266424005,0.7968980797636632
10,0.21950001085505766,0.868450184501845,0.2873407832600854,0.8153618906942393
11,0.20158175791011138,0.8776752767527676,0.29280354895374994,0.810192023633678
12,0.18872984630220077,0.8880073800738008,0.2901828973130746,0.8138847858197932
13,0.17600636569892658,0.8955719557195572,0.2868063294074752,0.8131462333825702
14,0.16574113184914868,0.9062730627306274,0.29061315953731537,0.8094534711964549
15,0.15390221748281926,0.9118081180811808,0.30983941934325476,0.8264401772525849
16,0.1461201390799354,0.9197416974169742,0.30352058803493326,0.8057607090103397
17,0.14185579419136046,0.9138376383763838,0.2941176390106028,0.8197932053175776
18,0.12753023049410653,0.9319188191881919,0.30618441037156363,0.8168389955686853
19,0.12577827108256956,0.9282287822878229,0.30841143971139734,0.8264401772525849
20,0.11614111144753063,0.9339483394833948,0.3128672709519213,0.8190546528803545
21,0.11326032662216355,0.9407749077490775,0.3149011805653572,0.827178729689808
22,0.10395633359165753,0.9448339483394834,0.3253361338918859,0.8212703101920237
23,0.10553079094080364,0.942250922509225,0.3407325324687091,0.8353028064992615
24,0.09604199647026904,0.9492619926199262,0.3410899253054099,0.8234859675036927
25,0.09527182245955748,0.9523985239852398,0.349766152148897,0.8360413589364845
